iteration,psnr,ssim,lpips,loss,latent_ks_stat,latent_ks_p,latent_sw_stat,latent_sw_p,freq_low_frac,freq_mid_frac,freq_high_frac
0,11.2135,0.3631,0.5441,0.209149,0.0012,0.9434,0.9998,0.9578,0.0351,0.3583,0.6066
10,14.9496,0.4066,0.3337,0.041821,0.0013,0.8833,0.9998,0.9598,0.0353,0.3583,0.6064
20,15.7242,0.4481,0.2755,0.031725,0.0014,0.8081,0.9998,0.9629,0.0355,0.3582,0.6063
30,16.2145,0.4568,0.2658,0.024821,0.0013,0.9044,0.9998,0.9701,0.0357,0.3581,0.6062
40,16.9647,0.4606,0.2481,0.021462,0.0013,0.8758,0.9998,0.9738,0.0359,0.3580,0.6061
50,17.5131,0.4615,0.2401,0.018545,0.0013,0.8903,0.9998,0.9734,0.0361,0.3579,0.6059
60,18.5301,0.4765,0.2220,0.016284,0.0014,0.8565,0.9998,0.9703,0.0363,0.3579,0.6058
70,19.2287,0.4925,0.2044,0.014693,0.0014,0.8522,0.9998,0.9661,0.0363,0.3579,0.6058
80,20.1184,0.5127,0.1876,0.013585,0.0015,0.7995,0.9998,0.9634,0.0364,0.3579,0.6058
90,20.8589,0.5317,0.1745,0.012874,0.0015,0.7740,0.9998,0.9612,0.0364,0.3578,0.6058
100,21.4971,0.5554,0.1656,0.012352,0.0015,0.7606,0.9998,0.9609,0.0364,0.3578,0.6058
110,22.0020,0.5737,0.1591,0.012023,0.0015,0.7945,0.9998,0.9611,0.0364,0.3578,0.6058
120,22.3934,0.5862,0.1577,0.011832,0.0014,0.8541,0.9998,0.9620,0.0364,0.3578,0.6057
130,22.6652,0.5932,0.1572,0.011707,0.0014,0.8469,0.9998,0.9630,0.0365,0.3578,0.6057
140,22.8732,0.5985,0.1573,0.011619,0.0014,0.8306,0.9998,0.9634,0.0365,0.3578,0.6057
150,23.0485,0.6028,0.1566,0.011552,0.0015,0.8016,0.9998,0.9630,0.0366,0.3578,0.6057
160,23.1821,0.6059,0.1558,0.011501,0.0014,0.8310,0.9998,0.9628,0.0366,0.3577,0.6056
170,23.2879,0.6084,0.1543,0.011462,0.0015,0.7777,0.9998,0.9625,0.0367,0.3577,0.6056
180,23.3769,0.6107,0.1530,0.011430,0.0015,0.7741,0.9998,0.9626,0.0368,0.3577,0.6055
190,23.4525,0.6129,0.1523,0.011404,0.0015,0.7402,0.9998,0.9638,0.0369,0.3576,0.6054
200,23.5135,0.6146,0.1513,0.011382,0.0016,0.7147,0.9998,0.9658,0.0370,0.3576,0.6054
210,23.5644,0.6161,0.1508,0.011364,0.0015,0.7663,0.9998,0.9676,0.0372,0.3575,0.6053
220,23.6051,0.6173,0.1504,0.011348,0.0015,0.7689,0.9998,0.9692,0.0373,0.3575,0.6052
230,23.6351,0.6181,0.1507,0.011334,0.0015,0.8012,0.9998,0.9707,0.0374,0.3575,0.6051
240,23.6488,0.6184,0.1514,0.011322,0.0014,0.8168,0.9998,0.9721,0.0376,0.3574,0.6050
250,23.6470,0.6178,0.1522,0.011312,0.0015,0.7673,0.9998,0.9734,0.0377,0.3574,0.6049
260,23.6733,0.6185,0.1519,0.011301,0.0015,0.7961,0.9998,0.9744,0.0379,0.3573,0.6048
270,23.6726,0.6183,0.1524,0.011292,0.0015,0.7416,0.9998,0.9753,0.0380,0.3573,0.6048
280,23.6807,0.6184,0.1525,0.011283,0.0014,0.8090,0.9998,0.9762,0.0381,0.3572,0.6047
290,23.6831,0.6182,0.1533,0.011275,0.0015,0.7950,0.9998,0.9777,0.0383,0.3572,0.6046
300,23.6833,0.6180,0.1535,0.011267,0.0014,0.8074,0.9998,0.9790,0.0384,0.3571,0.6045
310,23.6858,0.6178,0.1538,0.011260,0.0014,0.8366,0.9998,0.9801,0.0386,0.3570,0.6044
320,23.6907,0.6179,0.1538,0.011253,0.0014,0.8558,0.9998,0.9806,0.0388,0.3570,0.6043
330,23.6987,0.6180,0.1540,0.011246,0.0014,0.8465,0.9998,0.9809,0.0389,0.3569,0.6041
340,23.7086,0.6182,0.1543,0.011240,0.0014,0.8572,0.9998,0.9811,0.0391,0.3569,0.6040
350,23.7212,0.6185,0.1541,0.011233,0.0013,0.8691,0.9998,0.9808,0.0393,0.3568,0.6039
360,23.7373,0.6189,0.1543,0.011227,0.0014,0.8336,0.9998,0.9802,0.0395,0.3568,0.6038
370,23.7529,0.6191,0.1544,0.011220,0.0014,0.8576,0.9998,0.9801,0.0396,0.3567,0.6037
380,23.7678,0.6193,0.1541,0.011214,0.0014,0.8495,0.9998,0.9783,0.0398,0.3566,0.6035
390,23.7826,0.6195,0.1539,0.011209,0.0014,0.8462,0.9998,0.9739,0.0400,0.3566,0.6034
400,23.7927,0.6195,0.1536,0.011204,0.0014,0.8495,0.9998,0.9660,0.0402,0.3565,0.6033
410,23.8002,0.6193,0.1534,0.011199,0.0015,0.8002,0.9998,0.9517,0.0404,0.3564,0.6031
420,23.8051,0.6189,0.1530,0.011195,0.0015,0.8015,0.9998,0.9304,0.0406,0.3564,0.6030
430,23.8102,0.6184,0.1524,0.011189,0.0015,0.8003,0.9998,0.9096,0.0409,0.3563,0.6028
440,23.8421,0.6178,0.1517,0.011164,0.0015,0.8001,0.9998,0.8936,0.0411,0.3562,0.6027
450,23.9447,0.6174,0.1518,0.011120,0.0015,0.7652,0.9998,0.8876,0.0413,0.3562,0.6026
460,24.1527,0.6208,0.1480,0.011083,0.0015,0.7527,0.9998,0.8855,0.0414,0.3561,0.6024
470,24.3543,0.6234,0.1465,0.011050,0.0016,0.7178,0.9998,0.8834,0.0416,0.3561,0.6023
480,24.4843,0.6250,0.1460,0.011037,0.0015,0.7433,0.9998,0.8828,0.0417,0.3560,0.6022
490,24.5874,0.6264,0.1448,0.011027,0.0015,0.7456,0.9998,0.8848,0.0419,0.3560,0.6021
500,24.6702,0.6274,0.1438,0.011018,0.0015,0.7490,0.9998,0.8861,0.0421,0.3560,0.6019
510,24.7325,0.6277,0.1424,0.011011,0.0015,0.7906,0.9998,0.8857,0.0423,0.3559,0.6018
520,24.7989,0.6286,0.1414,0.011004,0.0014,0.8203,0.9998,0.8828,0.0425,0.3559,0.6016
530,24.8627,0.6292,0.1408,0.010998,0.0013,0.8814,0.9998,0.8800,0.0427,0.3558,0.6015
540,24.9154,0.6296,0.1406,0.010993,0.0013,0.8847,0.9998,0.8764,0.0429,0.3558,0.6013
550,24.9591,0.6296,0.1406,0.010988,0.0013,0.8723,0.9998,0.8721,0.0431,0.3558,0.6011
